ZIP_CODE,DMA_code,DMA
81403,773,GRAND JUNCTION - MONTROSE
81410,751,DENVER
81411,773,GRAND JUNCTION - MONTROSE
81413,751,DENVER
81414,751,DENVER
81415,751,DENVER
81416,751,DENVER
81418,751,DENVER
81419,751,DENVER
81420,751,DENVER
81422,773,GRAND JUNCTION - MONTROSE
81423,751,DENVER
81424,773,GRAND JUNCTION - MONTROSE
81425,773,GRAND JUNCTION - MONTROSE
81426,751,DENVER
81427,751,DENVER
81428,751,DENVER
81429,773,GRAND JUNCTION - MONTROSE
81430,751,DENVER
81431,773,GRAND JUNCTION - MONTROSE
81432,751,DENVER
81433,751,DENVER
81434,751,DENVER
81435,751,DENVER
81501,773,GRAND JUNCTION - MONTROSE
81502,773,GRAND JUNCTION - MONTROSE
81503,773,GRAND JUNCTION - MONTROSE
81504,773,GRAND JUNCTION - MONTROSE
81505,773,GRAND JUNCTION - MONTROSE
81506,773,GRAND JUNCTION - MONTROSE
81507,773,GRAND JUNCTION - MONTROSE
81520,773,GRAND JUNCTION - MONTROSE
81521,773,GRAND JUNCTION - MONTROSE
81522,773,GRAND JUNCTION - MONTROSE
81523,773,GRAND JUNCTION - MONTROSE
81524,773,GRAND JUNCTION - MONTROSE
81525,773,GRAND JUNCTION - MONTROSE
81526,773,GRAND JUNCTION - MONTROSE
81527,773,GRAND JUNCTION - MONTROSE
81601,751,DENVER
81602,751,DENVER
81610,751,DENVER
81611,751,DENVER
81612,751,DENVER
81615,751,DENVER
81620,751,DENVER
81621,751,DENVER
81623,751,DENVER
81624,773,GRAND JUNCTION - MONTROSE
81625,751,DENVER
81626,751,DENVER
81630,773,GRAND JUNCTION - MONTROSE
81631,751,DENVER
81632,751,DENVER
81633,751,DENVER
81635,751,DENVER
81636,751,DENVER
81637,751,DENVER
81638,751,DENVER
81639,751,DENVER
81640,751,DENVER
81641,751,DENVER
81642,751,DENVER
81643,773,GRAND JUNCTION - MONTROSE
81645,751,DENVER
81646,773,GRAND JUNCTION - MONTROSE
81647,751,DENVER
81648,751,DENVER
81649,751,DENVER
81650,751,DENVER
81652,751,DENVER
81653,751,DENVER
81654,751,DENVER
81655,751,DENVER
81656,751,DENVER
81657,751,DENVER
81658,751,DENVER
82001,759,CHEYENNE - SCOTTSBLUF
82002,759,CHEYENNE - SCOTTSBLUF
82003,759,CHEYENNE - SCOTTSBLUF
82005,759,CHEYENNE - SCOTTSBLUF
82006,759,CHEYENNE - SCOTTSBLUF
82007,759,CHEYENNE - SCOTTSBLUF
82008,759,CHEYENNE - SCOTTSBLUF
82009,759,CHEYENNE - SCOTTSBLUF
82010,759,CHEYENNE - SCOTTSBLUF
82050,759,CHEYENNE - SCOTTSBLUF
82051,751,DENVER
82052,751,DENVER
82053,759,CHEYENNE - SCOTTSBLUF
82054,759,CHEYENNE - SCOTTSBLUF
82055,751,DENVER
82058,751,DENVER
82059,759,CHEYENNE - SCOTTSBLUF
82060,759,CHEYENNE - SCOTTSBLUF
82061,759,CHEYENNE - SCOTTSBLUF
82063,751,DENVER
82070,751,DENVER
82071,751,DENVER
82072,751,DENVER
82073,751,DENVER
82081,759,CHEYENNE - SCOTTSBLUF
82082,759,CHEYENNE - SCOTTSBLUF
82083,751,DENVER
82084,751,DENVER
82190,756,BILLINGS
82201,751,DENVER
82210,751,DENVER
82212,759,CHEYENNE - SCOTTSBLUF
82213,751,DENVER
82214,751,DENVER
82215,751,DENVER
82217,759,CHEYENNE - SCOTTSBLUF
82218,759,CHEYENNE - SCOTTSBLUF
82219,759,CHEYENNE - SCOTTSBLUF
82221,759,CHEYENNE - SCOTTSBLUF
82222,751,DENVER
